compound,temperature,conductivity,log10_target,log10_predict,Ionic_Conductivity,residue,,,
Li6.8 La2.6Zr2.0Ga0.2Sr0.4O12,300,3.03E-05,-4.518557371,-4.839356644,0.000203099,0.682712906,,,
Li6.6 La2.6Zr2.0Ce0.4O12,300,1.44E-05,-4.841637508,-4.936870893,0.000156791,1.075283163,,,
Li6.7 La2.7Zr2.0Ga0.2Sr0.3O12,300,1.95E-04,-3.709965389,-2.978720808,0.000186071,0.000414341,,,
Li6.5 La2.8Zr2.0Ga0.3Rb0.2O12,300,1.16E-03,-2.935542011,-2.997479419,0.000329137,0.29929821,,,
Li6.6 La2.8Zr2.0Ga0.2Sr0.2O12,300,3.46E-04,-3.460923901,-3.530661644,0.00022028,0.038455421,,,
Li6.4 La2.85Zr2.0Ga0.3Rb0.15O12,300,1.04E-03,-2.982966661,-3.178969438,0.000376858,0.194353651,,,
Li6.3 La2.9Zr2.0Ga0.3Rb0.1O12,300,1.53E-03,-2.815308569,-2.891451332,0.000417285,0.318387891,,,
Li6.5 La2.9Zr2.0Ga0.2Sr0.1O12,300,5.50E-04,-3.259637311,-3.193076355,0.000258138,0.107919416,,,
Li6.66 La2.94Zr2.0Sr0.06O12,300,3.67E-05,-4.435333936,-4.637190865,0.000171012,0.446706125,,,
Li6.2 La2.95Zr2.0Ga0.3Rb0.05O12,300,1.62E-03,-2.790484985,-3.033617613,0.000440737,0.319603883,,,
Li7.05 La2.95Zr2.0Ca0.05O12,300,8.59E-06,-5.066006836,-5.302767651,0.000219325,1.979914574,,,
Li7.02 La2.98Zr2.0Ca0.02O12,300,7.09E-06,-5.149353765,-5.534582945,0.000178767,1.964594845,,,
Li5.5 La3.0Zr2.0Ga0.5O12,300,5.81E-05,-4.235823868,-4.178816651,3.03E-05,0.080299939,,,
Li5.8 La3.0Zr2.0Ga0.4O12,300,5.70E-04,-3.244125144,-3.145535544,6.73E-05,0.860327667,,,
Li5.95 La3.0Zr2.0Ga0.35O12,300,7.10E-04,-3.148741651,-3.272339539,7.51E-05,0.951726126,,,
Li6.58 La3.0Zr1.96Al0.32O12,300,2.45E-04,-3.610833916,-3.733122231,0.00017364,0.022354972,,,
Li6.24 La3.0Zr2.0Al0.3O12,300,1.54E-05,-4.812479279,-4.657291519,0.000220989,1.338299537,,,
Li6.24 La3.0Zr2.0Al0.3O12,300,2.80E-05,-4.552841969,-4.727360325,0.000220989,0.804988761,,,
Li6.24 La3.0Zr2.0Al0.3O12,300,8.78E-05,-4.056505484,-3.688358759,0.000220989,0.160700905,,,
Li6.24 La3.0Zr2.0Al0.3O12,300,1.32E-04,-3.879426069,-3.604940163,0.000220989,0.050084542,,,
Li6.24 La3.0Zr2.0Al0.3O12,300,2.10E-04,-3.677780705,-3.409434501,0.000220989,0.00049064,,,
Li6.1 La3.0Zr2.0Ga0.3O12,300,7.00E-05,-4.15490196,-3.972088986,0.000117695,0.050922794,,,
Li6.1 La3.0Zr2.0Ga0.3O12,300,1.12E-03,-2.950781977,-2.843397124,0.000117695,0.957382384,,,
Li6.1 La3.0Zr2.0Ga0.3O12,300,1.12E-03,-2.950781977,-3.018813713,0.000117695,0.957382384,,,
Li6.16 La3.0Zr2.0Al0.28O12,300,1.92E-05,-4.716698771,-4.421093209,0.000194163,1.009755954,,,
Li6.23 La3.0Zr1.88Al0.26O12,300,2.50E-04,-3.602059991,-3.468724366,0.000160796,0.036735329,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,9.90E-05,-4.004364805,-3.79260599,0.000240671,0.148832603,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,4.41E-04,-3.355561411,-3.306824999,0.000240671,0.069176946,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,5.00E-04,-3.301029996,-2.928028159,0.000240671,0.100835793,,,
Li6.27 La3.0Zr1.96Al0.25O12,300,4.48E-04,-3.348721986,-3.432454339,0.000226956,0.087223555,,,
Li6.15 La3.0Zr2.0Al0.25O12,300,1.24E-04,-3.906578315,-4.23921543,0.000163929,0.01469754,,,
Li6.25 La3.0Zr2.0Al0.25O12,300,1.10E-04,-3.958607315,-4.276169475,0.000240671,0.115620943,,,
