Temp_K,Ea_eV,electrolyte,doi,Ionic_Conductivity,Material_Type,avg_electronegativity,avg_atomic_mass,avg_ionic_radius,num_elements,li_fraction,composition_entropy,electronegativity_variance,group_diversity,packing_efficiency_proxy,li_to_anion_ratio,heaviest_element_mass,lightest_element_mass,is_mixture,formula_complexity,total_atoms
312.8656617,0.264516713,Li1.3Al0.225Gd0.075Ti1.7(PO4)3,10.1142/S1793604721400026,0.000641524,NASICON,2.852144809,21.48498634,1.111311475,6,0.071038251,1.058378336,0.921427664,6,0.314285714,0.108333333,157.25,6.94,0,109.8,18.3
312.8669944,0.244665073,Li3PS4(LiBH4)2,10.1038/s41467-023-37564-z,0.009561609,Hydride-Sulfide,1.9545,11.1817,0.755,5,0.25,1.415022588,0.34327475,4,0.14673913,1.25,32.07,1.008,0,100,20
312.8673012,0.445507485,Li2.5Si0.5P0.5O3.5,10.1016/j.ssi.2024.116723,1.56E-05,LiSiPON,2.362142857,14.69714286,1.031428571,4,0.357142857,1.091303001,1.177422222,4,0.285714286,0.714285714,30.97,6.94,0,28,7
312.8676838,0.322870189,Li3YBr6 ,10.1016/j.nanoen.2020.105097,0.004676483,Halide,2.192,58.913,1.494,3,0.3,0.897945725,0.889056,3,0.387755102,0.5,88.91,6.94,0,30,10
312.8684791,0.336044545,Li6.3P0.85Sc0.15S4.775O0.225Cl,10.1016/j.est.2023.107715,0.004633099,Argyrodite,1.841578947,20.22366541,1.217631579,6,0.473684211,1.211648435,0.784793359,5,0.239130435,1.05,44.96,6.94,0,79.8,13.3
312.8689492,0.275355202,Li2.3Zr0.7In0.3Cl6(high crystallinity),10.1002/advs.202305394,0.000881155,Halide,2.438602151,35.1572043,1.435698925,4,0.247311828,0.933736605,0.988041322,4,0.397790055,0.383333333,114.82,6.94,0,37.2,9.3
312.8718762,0.583173041,LiBH4+Al2O3,10.1021/acsaem.4c02653,6.53E-05,Hydride,2.305454545,11.24927273,0.708181818,5,0.090909091,1.468139939,0.609152066,3,0.192857143,0.333333333,26.98,1.008,1,55,11
312.8718762,0.577550085,untreated LiBH4+untreated mesopuors Al2O3,10.1021/acsaem.4c02653,9.73E-05,Hydride,2.305454545,11.24927273,0.708181818,5,0.090909091,1.468139939,0.609152066,3,0.192857143,0.333333333,26.98,1.008,1,55,11
312.8725932,0.561006858,Li1.2Mg1.25Al0.1Cl4,10.1007/s12274-024-6769-0,1.56E-05,Halide,2.38389313,27.97152672,1.390229008,4,0.183206107,0.992039974,0.943439506,4,0.298342541,0.3,35.45,6.94,0,26.2,6.55
312.8754505,0.378182941,LiAlH4,10.1063/1.3356981,1.81E-05,Hydride,1.898333333,6.325333333,0.463333333,3,0.166666667,0.867563228,0.215080556,2,0.486842105,0,26.98,1.008,0,18,6
312.8771853,0.260411003,Li5.6PS4.5O0.1Br1.4,10.1039/D4TA04835K,0.004484678,Argyrodite,1.886984127,26.00071429,1.258730159,5,0.444444444,1.211740952,0.791336,4,0.224489796,0.933333333,79.9,6.94,0,63,12.6
312.8778718,0.419759319, LiTi2(PO4),10.1021/acsami.8b05902,0.001105987,Solid salt,2.50125,24.70625,1.0025,4,0.125,1.213007566,0.973010937,4,0.314285714,0.25,47.87,6.94,0,32,8
312.8841211,1.043862756,Li7N2I-0.75LiOH,10.1002/adma.202402324,1.56E-06,Oxyhalide-Nitride,1.709230769,17.496,0.793076923,5,0.615384615,1.178654996,0.918191716,4,0.059090909,4,126.9,1.008,0,65,13
312.8845669,0.560456585,Li6.4La3Zr1.4Ta0.6O12-4LiBH4,10.1002/adfm.202009692,0.00014246,Garnet,2.128565401,20.60236287,0.763417722,7,0.219409283,1.589831937,0.817669221,6,0.192857143,0.866666667,180.95,1.008,1,331.8,47.4
312.8848091,0.25140509,Li2ZrCl5.6S0.2,10.1002/batt.202500378,0.000816862,Halide,2.443409091,35.23113636,1.448181818,4,0.227272727,0.957490389,0.860681,4,0.391304348,0.344827586,91.22,6.94,0,35.2,8.8
312.8868232,0.376850763,Li6.5La3Zr1.5Ta0.5O12,10.20517/energymater.2024.201,0.000946767,Garnet,2.284893617,37.49553191,1.116170213,5,0.276595745,1.218998086,1.379576,5,0.457142857,0.541666667,180.95,6.94,0,117.5,23.5
312.8872367,0.314351914,Li5.4PS4.4Cl1.6,10.1016/j.jechem.2024.08.028,0.02472313,Argyrodite,1.926612903,21.47370968,1.252903226,4,0.435483871,1.196920655,0.758263776,4,0.239130435,0.9,35.45,6.94,0,49.6,12.4
312.8875158,0.334623332,Li5.3PS4.3ClBr0.7,10.1002/aenm.202400783,0.019648267,Argyrodite,1.927642276,24.14902439,1.265203252,5,0.430894309,1.301370133,0.726325,4,0.224489796,0.883333333,79.9,6.94,0,61.5,12.3
312.8904623,0.362097211,Li6.15P0.85Zr0.15S4.7ClO0.3,10.1039/D3TA07453F,0.001639758,Argyrodite,1.855969582,20.81121673,1.219315589,6,0.467680608,1.233393381,0.78675625,5,0.239130435,1.025,91.22,6.94,0,78.9,13.15
312.8911959,0.756671517,LiBH4+55wt% nanofiber Al2O3,10.1021/acsaem.4c02653,1.55E-05,Hydride,2.692241993,20.03409964,1.042384342,5,0.003558719,0.780422211,0.802213835,3,0.192857143,0.006060606,26.98,1.008,1,1405,281
312.8932937,0.42372043,Li6.65La2.95Ba0.05Zr1.6Sb0.4O12,10.1016/j.electacta.2021.139285,0.002159838,Garnet,2.284756871,35.91788584,1.116955603,6,0.281183932,1.224880661,1.375054438,6,0.514285714,0.554166667,138.91,6.94,0,141.9,23.65
