orig_Temp_K,orig_avg_electronegativity,orig_avg_atomic_mass,orig_avg_ionic_radius,orig_num_elements,orig_li_fraction,orig_composition_entropy,orig_electronegativity_variance,orig_group_diversity,orig_packing_efficiency_proxy,orig_li_to_anion_ratio,orig_heaviest_element_mass,orig_lightest_element_mass,orig_is_mixture,orig_formula_complexity,orig_total_atoms,log_Ionic_Conductivity
303.0086981,2.382284264,34.89939086,1.402436548,4.0,0.289340102,0.935927611,0.988041322,4.0,0.397790055,0.475,114.82,6.94,0.0,39.4,9.85,-2.7682926831242796
302.8674973,2.845464481,23.34568306,1.115081967,5.0,0.071038251,1.049159727,0.92597475,5.0,0.314285714,0.108333333,173.05,6.94,0.0,91.5,18.3,-5.8996294548824375
295.5861375,2.351111111,43.81288889,1.129555556,5.0,0.244444444,1.196911522,1.366863889,4.0,0.457142857,0.458333333,180.95,6.94,0.0,112.5,22.5,-4.560667306169737
307.8641539,2.368,34.834,1.394,3.0,0.3,0.897945725,0.988896,3.0,0.419889503,0.5,114.82,6.94,0.0,30.0,10.0,-5.694648630553377
298.7376368,2.384042553,33.96,1.427234043,4.0,0.255319149,1.029847814,0.969132231,4.0,0.391304348,0.4,91.22,6.94,0.0,37.6,9.4,-3.2446420336590385
303.1832618,2.071481481,25.13777778,1.297777778,4.0,0.259259259,1.113457041,0.456264472,4.0,0.217391304,0.466666667,32.07,6.94,1.0,108.0,27.0,-3.2538945923066342
293.3166165,2.220465116,32.46395349,1.347906977,5.0,0.162790698,1.311681299,0.336274202,5.0,0.122727273,0.269230769,126.9,6.94,1.0,3225.0,645.0,-2.7092648467541243
297.3296805,1.94131068,21.37809061,1.249789644,6.0,0.433656958,1.268622669,0.794405859,5.0,0.217391304,0.893333333,35.45,6.94,0.0,74.16,12.36,-2.1559794151117324
302.9085138,2.368,34.834,1.394,3.0,0.3,0.897945725,0.988896,3.0,0.419889503,0.5,114.82,6.94,0.0,30.0,10.0,-3.1127079797526322
302.9207811,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.542834447349246
308.1468452,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.288858383792492
298.137116,2.373076923,29.73038462,1.4,4.0,0.230769231,1.011642183,1.0245,4.0,0.397790055,0.375,91.22,6.94,0.0,26.0,6.5,-5.3535962737769305
296.1820915,2.364529148,45.01600897,1.131973094,5.0,0.237668161,1.184986309,1.36864375,4.0,0.457142857,0.441666667,180.95,6.94,0.0,111.5,22.3,-5.284832642151542
308.0370875,1.98,23.36184466,1.275728155,4.0,0.339805825,1.004142778,0.504439876,4.0,0.217391304,0.654205607,32.07,6.94,0.0,82.4,20.6,-3.1301319770222036
312.682724,2.853265027,21.12905738,1.110218579,6.0,0.071038251,1.053861956,0.921427664,6.0,0.314285714,0.108333333,157.25,6.94,0.0,109.8,18.3,-3.447576371490675
312.6696107,1.826852058,20.81468298,1.204783092,5.0,0.443826474,0.979138345,0.701677686,4.0,0.239130435,0.9975,65.38,6.94,0.0,44.95,8.99,-3.294934652485548
307.9781934,2.467058824,36.93985294,1.350147059,4.0,0.191176471,1.069922047,0.938232099,4.0,0.071823204,0.317073171,91.22,6.94,0.0,27.2,6.8,-2.4449975009337406
294.1422105,2.29491453,35.9657265,1.116581197,5.0,0.260683761,1.222377873,1.37366944,5.0,0.385714286,0.508333333,138.91,6.94,0.0,117.0,23.4,-5.047207556955908
307.9051624,1.931438321,22.569201,1.25954803,4.0,0.371233582,1.007069173,0.554826576,4.0,0.239130435,0.742467165,32.07,6.94,1.0,3106.4,776.6,-3.8930887104915066
299.0796229,2.368,34.834,1.394,3.0,0.3,0.897945725,0.988896,3.0,0.419889503,0.5,114.82,6.94,0.0,30.0,10.0,-3.092704753271165
302.8971165,1.636,35.958,1.264,3.0,0.6,0.950270539,0.646144,3.0,0.345454545,1.5,126.9,6.94,0.0,15.0,5.0,-5.197226274708024
299.9733024,1.975672372,20.82806846,1.209193154,5.0,0.383863081,1.282862757,0.718360587,4.0,0.217391304,0.785,32.07,6.94,0.0,122.7,24.54,-3.986139384363386
302.7643572,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.8219890653384354
297.8778609,1.755797101,31.56550725,1.246956522,5.0,0.492753623,1.133229396,0.576918222,5.0,0.2,1.133333333,126.9,6.94,0.0,69.0,13.8,-4.51427857351842
298.1349548,1.962210526,22.13215789,1.259315789,5.0,0.394736842,1.217778862,0.698467587,4.0,0.239130435,0.789473684,35.45,6.94,0.0,190.0,38.0,-8.143271109617118
311.0371534,1.808,32.744,1.176,3.0,0.6,0.950270539,1.089216,3.0,0.345454545,1.5,126.9,6.94,0.0,15.0,5.0,-5.85078088734462
306.341577,1.808,32.744,1.176,3.0,0.6,0.950270539,1.089216,3.0,0.345454545,1.5,126.9,6.94,0.0,15.0,5.0,-6.335358024443875
299.2256651,2.843565217,20.85565217,1.107630435,6.0,0.076086957,1.07625195,0.904212245,5.0,0.314285714,0.116666667,91.22,6.94,0.0,110.4,18.4,-3.3631742276289107
298.3837547,2.612409639,45.27144578,1.50746988,4.0,0.156626506,0.853512616,0.944705,4.0,0.35359116,0.216666667,180.95,6.94,0.0,33.2,8.3,-4.73754891026957
308.1433225,2.312,32.243,1.404,3.0,0.3,0.897945725,1.082976,3.0,0.419889503,0.5,88.91,6.94,0.0,30.0,10.0,-3.799705031998038
303.0247935,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3,-3.7340907325254635
303.087886,2.575217391,27.35304348,1.343478261,4.0,0.130434783,1.202548864,0.874925,4.0,0.298342541,0.2,35.45,6.94,0.0,18.4,4.6,-3.143996546002779
298.3870968,1.790151515,46.46181818,1.310757576,5.0,0.46969697,1.151505258,0.560944889,5.0,0.2,6.2,126.9,6.94,0.0,66.0,13.2,-2.9237466986858998
303.132795,2.368,34.834,1.394,3.0,0.3,0.897945725,0.988896,3.0,0.419889503,0.5,114.82,6.94,0.0,30.0,10.0,-2.766204862916759
312.9486075,2.460769231,35.25868132,1.448791209,4.0,0.230769231,0.891401637,0.988041322,4.0,0.397790055,0.35,114.82,6.94,0.0,36.4,9.1,-2.9592758530161225
304.3778552,2.323913043,36.2873913,1.132608696,5.0,0.260869565,1.251058332,1.386284688,5.0,0.457142857,0.5,138.91,6.94,0.0,115.0,23.0,-6.195179321278838
302.4850896,1.833378076,20.99485459,1.206487696,5.0,0.440715884,1.026203158,0.701677686,4.0,0.239130435,0.985,65.38,6.94,0.0,44.7,8.94,-4.422508200162775
295.7173234,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.9085300141177686
300.1132503,2.397010309,34.96680412,1.411134021,4.0,0.278350515,0.950324617,0.988041322,4.0,0.397790055,0.45,114.82,6.94,0.0,38.8,9.7,-2.9002189097020055
303.1288976,2.413255814,35.14744186,1.440465116,4.0,0.23255814,1.036320003,0.860681,4.0,0.391304348,0.357142857,91.22,6.94,0.0,34.4,8.6,-3.337790102522418
305.6946258,2.692241993,20.03409964,1.042384342,5.0,0.003558719,0.780422211,0.802213835,3.0,0.192857143,0.006060606,26.98,1.008,1.0,1405.0,281.0,-4.723538195826756
303.2775202,1.771918819,26.72273063,1.239557196,5.0,0.483394834,1.154759475,0.575632889,5.0,0.181818182,1.091666667,126.9,6.94,0.0,67.75,13.55,-2.979889918284786
297.5427951,2.145714286,31.235,1.037857143,5.0,0.357142857,1.277673726,1.396503061,5.0,0.092857143,0.833333333,138.91,6.94,0.0,140.0,28.0,-2.9643797744046716
298.3355858,1.798490566,28.07622642,1.253773585,5.0,0.471698113,1.154677661,0.578331556,5.0,0.2,1.041666667,126.9,6.94,0.0,66.25,13.25,-3.819286475243536
312.6638941,1.900806452,27.20919355,1.272258065,4.0,0.435483871,1.196920655,0.693978061,4.0,0.224489796,0.9,79.9,6.94,0.0,49.6,12.4,-2.473994585534124
308.1560989,1.855668203,20.7440745,1.230760369,6.0,0.462365591,1.130580438,0.768293359,4.0,0.239130435,1.003333333,208.98,6.94,0.0,78.12,13.02,-2.4061924281041405
298.0551924,1.852325581,24.32906977,1.231395349,4.0,0.418604651,1.049026433,0.530004,4.0,0.239130435,0.9,72.63,6.94,0.0,34.4,8.6,-3.787825717716993
300.1132503,2.460769231,35.25868132,1.448791209,4.0,0.230769231,0.891401637,0.988041322,4.0,0.397790055,0.35,114.82,6.94,0.0,36.4,9.1,-2.937836343123546
312.3652925,1.889959839,25.48329317,1.25184739,5.0,0.397590361,1.073384393,0.605528994,5.0,0.239130435,0.825,118.71,6.94,0.0,124.5,24.9,-2.3807987355523883
311.0174058,1.840740741,19.47037037,1.150740741,5.0,0.481481481,1.225764586,0.746662222,4.0,0.070652174,1.181818182,35.45,6.94,0.0,67.5,13.5,-3.009520843689051
310.094876,1.924969549,25.76602923,1.271254568,5.0,0.380024361,1.088807387,0.537026446,4.0,0.2,0.762836186,208.98,6.94,0.0,41.05,8.21,-2.2630149296584503
298.276624,2.438888889,41.40777778,1.481555556,4.0,0.222222222,1.06540754,0.862809,3.0,0.327272727,0.333333333,126.9,6.94,0.0,36.0,9.0,-3.302493425171937
303.030303,2.610625,41.78421875,1.16046875,5.0,0.140625,1.163990534,1.183583673,5.0,0.435714286,0.225,180.95,6.94,0.0,64.0,12.8,-6.0
298.1624185,1.985818882,23.4736079,1.279696532,4.0,0.337186898,0.984320371,0.505320868,4.0,0.239130435,0.64516129,95.96,6.94,0.0,83.04,20.76,-2.2811012336686978
304.6392107,2.34624,21.018656,0.97512,4.0,0.208,1.337485771,0.843288889,3.0,0.18877551,0.52,79.9,1.008,0.0,20.0,5.0,-6.853871964321762
297.8201889,2.54,37.44333333,1.413809524,5.0,0.19047619,1.228491678,0.9158,5.0,0.38121547,0.285714286,118.71,6.94,1.0,105.0,21.0,-3.18476902880177
298.027688,2.254166667,34.98958333,1.110416667,4.0,0.291666667,1.172954578,1.414307639,4.0,0.514285714,0.583333333,138.91,6.94,0.0,96.0,24.0,-3.9819530985934595
303.040257,2.29491453,35.9657265,1.116581197,5.0,0.260683761,1.222377873,1.37366944,5.0,0.385714286,0.508333333,138.91,6.94,0.0,117.0,23.4,-5.048662481204082
301.1785247,1.868543307,24.70740157,1.251889764,5.0,0.437007874,1.18142876,0.61442449,5.0,0.224489796,0.925,79.9,6.94,0.0,63.5,12.7,-5.6439741428068775
303.3264118,2.034285714,22.68428571,1.191904762,4.0,0.261904762,1.134875704,0.442253061,4.0,0.122727273,0.523809524,126.9,6.94,1.0,168.0,42.0,-3.2569584908764653
298.4023538,1.758695652,28.8942029,1.237681159,5.0,0.492753623,1.133229396,0.578331556,5.0,0.2,1.133333333,126.9,6.94,0.0,69.0,13.8,-2.5643702871129603
305.6546967,1.83532872,21.08306805,1.218269896,4.0,0.423298731,1.043063461,0.527441,4.0,0.217391304,0.9175,32.07,6.94,0.0,34.68,8.67,-3.6376928617962
309.0291062,1.849285714,17.55357143,0.96125,6.0,0.517857143,1.426039065,1.002533333,4.0,0.070652174,1.8125,35.45,6.94,0.0,42.0,7.0,-2.7731313535401108
297.9443143,2.314,40.078,1.403,3.0,0.3,0.897945725,1.078644,3.0,0.419889503,0.5,167.26,6.94,0.0,30.0,10.0,-4.050609993355088
309.0813466,1.902872892,21.11613489,1.205525292,5.0,0.389753567,1.176073751,0.687563265,4.0,0.217391304,0.822161423,32.07,6.94,0.0,15.42,3.084,-2.649408946984033
303.0214053,2.254166667,34.98958333,1.110416667,4.0,0.291666667,1.172954578,1.414307639,4.0,0.514285714,0.583333333,138.91,6.94,0.0,96.0,24.0,-4.217527375833714
296.2804104,2.358181818,43.695,1.160454545,4.0,0.227272727,1.157033336,1.40785124,3.0,0.542857143,0.416666667,158.93,6.94,0.0,88.0,22.0,-5.430626090384954
300.6013251,2.031783626,18.73111111,1.151929825,5.0,0.400584795,1.380302446,0.756013889,4.0,0.217391304,0.840490798,32.07,6.94,0.0,17.1,3.42,-4.173925197299174
310.9642247,2.844736842,20.84242105,1.107210526,6.0,0.073684211,1.086984901,0.833018182,6.0,0.285714286,0.112903226,47.87,6.94,1.0,114.0,19.0,-3.493730443383589
297.5532092,2.387894737,33.69631579,1.428421053,4.0,0.263157895,0.95148796,1.064219835,4.0,0.397790055,0.416666667,91.22,6.94,0.0,38.0,9.5,-2.8595504115276893
294.8732183,1.908404908,22.16920245,1.25006135,4.0,0.386503067,1.026019635,0.527441,4.0,0.217391304,0.7875,32.07,6.94,0.0,32.6,8.15,-3.0749959438508467
300.0025701,2.135824176,31.80862637,1.158131868,8.0,0.340659341,1.601549317,1.175888712,7.0,0.239130435,0.688888889,180.95,6.94,0.0,291.2,36.4,-2.8726415051674064
302.9644505,2.283347458,35.72059322,1.115010593,6.0,0.271186441,1.224436965,1.350423225,5.0,0.464285714,0.533333333,138.91,6.94,0.0,141.6,23.6,-3.2723188803809
299.3369735,1.95275,22.107,1.249,4.0,0.375,1.073572375,0.72094321,3.0,0.239130435,0.75,32.07,6.94,0.0,32.0,8.0,-5.464705879957229
312.601231,1.9413,22.761825,1.2561,5.0,0.375,1.053761196,0.649064,3.0,0.239130435,0.75,121.76,6.94,0.0,40.0,8.0,-3.153723520107054
302.8682583,2.837058824,20.95631016,1.11342246,6.0,0.080213904,1.113448501,0.824538776,6.0,0.243093923,0.12295082,47.87,6.94,1.0,112.2,18.7,-4.009661145212399
293.1466624,2.203525641,30.18266667,1.085769231,7.0,0.326923077,1.509625541,1.13607929,6.0,0.18877551,0.708333333,138.91,1.008,1.0,68.25,9.75,-5.476253533188435
312.3230387,2.368,34.834,1.394,3.0,0.3,0.897945725,0.988896,3.0,0.419889503,0.5,114.82,6.94,0.0,30.0,10.0,-2.641551161179786
307.7709076,1.757007299,28.46270073,1.240875912,5.0,0.489051095,1.1443706,0.568962667,5.0,0.181818182,1.116666667,126.9,6.94,0.0,68.5,13.7,-1.9437395633341485
297.9711906,1.86980198,21.59544554,1.233267327,4.0,0.405940594,1.053311964,0.562408264,4.0,0.217391304,0.854166667,32.07,6.94,0.0,80.8,20.2,-2.9625388395711862
295.3769348,1.931565126,22.60990546,1.259243697,4.0,0.368697479,1.022547633,0.552750769,4.0,0.239130435,0.737394958,32.07,6.94,1.0,3046.4,761.6,-4.261219441515631
303.030303,1.855969582,20.81121673,1.219315589,6.0,0.467680608,1.233393381,0.78675625,5.0,0.239130435,1.025,91.22,6.94,0.0,78.9,13.15,-2.9783865403781675
298.1365349,2.3069,33.832,1.1236,6.0,0.27,1.250170722,1.379111111,6.0,0.442857143,0.519230769,138.91,6.94,0.0,150.0,25.0,-5.94692155651658
303.122496,2.387073733,23.82843318,1.118940092,6.0,0.31797235,1.093621063,1.36696875,6.0,0.471428571,0.575,183.84,6.94,0.0,130.2,21.7,-3.703040992682651
303.1535362,2.379275362,31.26478261,1.35115942,3.0,0.260869565,0.959342478,0.86031875,3.0,0.359116022,0.45,55.85,6.94,0.0,20.7,6.9,-4.640164517660112
298.4962406,2.275548523,35.74198312,1.113966245,5.0,0.276371308,1.202313061,1.36531104,5.0,0.442857143,0.545833333,138.91,6.94,0.0,118.5,23.7,-2.996283189139201
312.7413127,2.068644068,28.78067797,1.300677966,4.0,0.237288136,1.153248064,0.4479,4.0,0.239130435,0.4375,65.38,6.94,0.0,29.5,7.375,-4.361510743045363
302.9135388,2.851952278,20.92869848,1.109164859,6.0,0.071583514,1.058803251,0.833018182,6.0,0.285714286,0.109271523,47.87,6.94,1.0,110.64,18.44,-3.8227666019658213
298.1023806,1.816923077,31.06230769,1.272307692,4.0,0.461538462,1.118968867,0.612052071,4.0,0.263636364,1.0,126.9,6.94,0.0,52.0,13.0,-5.371611069949688
297.7839335,2.312,32.243,1.404,3.0,0.3,0.897945725,1.082976,3.0,0.419889503,0.5,88.91,6.94,0.0,30.0,10.0,-3.4658189978073457
293.1734894,2.254166667,34.98958333,1.110416667,4.0,0.291666667,1.172954578,1.414307639,4.0,0.514285714,0.583333333,138.91,6.94,0.0,96.0,24.0,-4.247951552180561
308.2638165,2.312,32.243,1.404,3.0,0.3,0.897945725,1.082976,3.0,0.419889503,0.5,88.91,6.94,0.0,30.0,10.0,-3.6162420651862623
303.216554,2.212,50.533,1.482,4.0,0.3,1.279854226,0.953376,3.0,0.345454545,0.5,126.9,6.94,0.0,40.0,10.0,-3.3243242885569115
303.014575,1.753636364,28.04381818,1.237818182,5.0,0.490909091,1.139274,0.568962667,5.0,0.181818182,1.125,126.9,6.94,0.0,68.75,13.75,-1.8849104215386574
307.801222,2.613719512,37.69353659,1.15296748,5.0,0.050813008,1.162697116,1.155955102,5.0,0.385714286,0.083333333,138.91,6.94,0.0,24.6,4.92,-3.85964911074747
299.9392835,2.417368421,35.06,1.423157895,4.0,0.263157895,0.95148796,0.988041322,4.0,0.397790055,0.416666667,114.82,6.94,0.0,38.0,9.5,-2.904684861720302
312.7131129,2.274,57.437,1.586,4.0,0.1,1.088899975,1.189984,3.0,0.419889503,0.166666667,132.91,6.94,0.0,40.0,10.0,-4.567030709125595
298.0289717,2.432702703,33.29405405,1.439189189,4.0,0.243243243,0.925940886,1.040315702,4.0,0.397790055,0.375,91.22,6.94,0.0,37.0,9.25,-2.8482591504515575
299.8402788,2.4175,43.77125,1.3575,4.0,0.25,1.213007566,1.07904375,4.0,0.386740331,0.4,178.49,6.94,0.0,32.0,8.0,-3.2402868399895377
302.8064993,2.145106383,14.28919149,1.044468085,5.0,0.382978723,1.41179473,1.1505,3.0,0.20441989,0.947368421,39.1,1.008,0.0,23.5,4.7,-6.072116589669293
303.08833,1.991265823,4.650177215,0.392721519,3.0,0.132911392,0.94524889,0.161708524,2.0,0.355263158,0.0,10.81,1.008,1.0,948.0,316.0,-4.289882634888183
303.1149602,1.88015873,26.12825397,1.262222222,4.0,0.444444444,1.1735053,0.693978061,4.0,0.224489796,0.933333333,79.9,6.94,0.0,50.4,12.6,-2.162962985936419
302.9128096,2.1012,5.60616,0.3372,4.0,0.04,0.964068122,0.06491456,3.0,0.210526316,0.0,12.01,1.008,1.0,100.0,25.0,-6.393618634889395
298.15,2.544655899,46.08316479,1.527069288,5.0,0.115870787,0.978233686,1.047767347,5.0,0.397790055,0.165,138.91,6.94,0.0,21.36,4.272,-2.8601209135987635
312.9866009,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-3.7758892655147887
303.2526461,2.192,58.913,1.494,3.0,0.3,0.897945725,0.889056,3.0,0.387755102,0.5,88.91,6.94,0.0,30.0,10.0,-3.2399259967162273
312.3657554,1.90008,25.80052,1.24376,6.0,0.4,1.158779958,0.61174321,4.0,0.239130435,0.833333333,121.76,6.94,0.0,150.0,25.0,-2.5514481061902323
296.7551083,1.970658057,19.86201722,1.177343173,5.0,0.395448954,1.328039117,0.687563265,4.0,0.217391304,0.831824062,32.07,6.94,0.0,16.26,3.252,-3.488941914015907
298.2629356,1.824242424,25.13606061,1.239545455,5.0,0.46969697,1.151505258,0.618064889,5.0,0.224489796,1.033333333,118.71,6.94,0.0,66.0,13.2,-2.765724480288679
312.7042929,2.118181818,23.61218182,0.844090909,7.0,0.25,1.647994732,0.908210331,6.0,0.122727273,0.846153846,138.91,1.008,1.0,308.0,44.0,-5.306273051076353
302.902472,1.820681818,31.13318182,1.244545455,4.0,0.431818182,1.025004099,0.520505,4.0,0.375,0.95,121.76,6.94,0.0,35.2,8.8,-1.4049386209606594
302.9817249,1.884705882,20.98196078,1.240196078,4.0,0.450980392,1.154314367,0.758263776,4.0,0.239130435,0.958333333,35.45,6.94,0.0,51.0,12.75,-2.2298893504928112
303.3879191,2.629731959,34.8605567,1.153340206,4.0,0.070103093,1.045857909,1.275922222,4.0,0.435714286,0.113333333,138.91,6.94,0.0,19.4,4.85,-2.9258735679771317
303.030303,2.393469388,36.07806122,1.405306122,4.0,0.285714286,0.924381548,0.96126281,4.0,0.35359116,0.466666667,180.95,6.94,0.0,39.2,9.8,-2.6690222131633465
298.0074435,1.833076923,28.05461538,1.351538462,4.0,0.0,1.118968867,0.736221302,4.0,0.239130435,0.0,35.45,22.99,0.0,52.0,13.0,-5.036212172654444
