compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li6.0 La3.0Zr1.5W0.15O12,300,0.000208,-3.6819366650372385,-3.880280224,6.6e-05,0.24844408,0.002386084,-3.6999517726395164,0.00019954838963657829
Li6.7 La3.0Zr1.85W0.15O12,300,0.00027,-3.5686362358410126,-3.192112033,0.000186401,0.025893475,0.02629197,-3.711469214710702,0.00019432594363454395
Li7.0 La3.0Zr1.9Ge0.1O12,300,0.000149,-3.826813731587726,-3.390554518,0.000164038,0.001743723,0.009221666,-4.229251381743207,5.8985955419875795e-05
Li6.8 La3.0Zr1.9Mo0.1O12,300,0.000246,-3.6090648928966207,-3.534398876,0.000150517,0.045518587,0.014815596,-3.943081830251765,0.00011400349606611433
Li6.625 La3.0Zr1.925Al0.1Sb0.075O12,300,0.000235,-3.6289321377282637,-3.762811305,0.000252942,0.001021026,0.010373848,-3.8636177621732104,0.00013689331416752489
Li6.7 La3.0Zr1.925Al0.075Sb0.075O12,300,0.000345,-3.462180904926726,-3.489999826,0.000246228,0.021456857,0.072147743,-4.026128245582848,9.416115010089007e-05
Li6.775 La3.0Zr1.925Al0.05Sb0.075O12,300,0.00041,-3.3872161432802645,-3.70001766,0.000260254,0.038961687,0.118039027,-3.441952843782287,0.00036144910708818366
Li7.06 La3.0Zr1.94Sm0.06O12,300,0.000246,-3.6090648928966207,-3.469302115,0.000231991,0.000648369,0.014815596,-3.6640910043670867,0.00021672499202025835
Li7.06 La3.0Zr1.94Y0.06O12,300,0.000956,-3.0195421077239,-2.714033113,0.000222137,0.401748493,0.505865348,-2.8372801154633813,0.001454520627159264
Li6.4 La2.4Zr2.0Ce0.6O12,300,1.26e-05,-4.8996294548824375,-5.032507066,0.000169796,1.275896071,1.366199173,-5.523546577104224,2.995390326340302e-06
Li6.8 La2.6Zr2.0Ga0.2Sr0.4O12,300,3.03e-05,-4.518557371497695,-4.839356644,0.000203099,0.682712906,0.62058653,-4.971458225342987,1.0679275112283788e-05
Li6.6 La2.6Zr2.0Ce0.4O12,300,1.44e-05,-4.841637507904751,-4.936870893,0.000156791,1.075283163,1.233995017,-5.40867818585091,3.902310425113569e-06
Li6.7 La2.7Zr2.0Ga0.2Sr0.3O12,300,0.000195,-3.709965388637482,-2.978720808,0.000186071,0.000414341,0.000433424,-3.8425570010218117,0.0001436954441135232
